comment,clean_comment
ngakak bgt,ngakak bgt
Kata orang-orang Termul,kata orangorang termul
podkes antara pria solo & 2 jenderal bintang 666 nya,podkes antara pria solo jenderal bintang nya
Tolong perlihatkan sertifikat halalnya depan kamera😂😂😂,tolong perlihatkan sertifikat halalnya depan kamera
Anjirrr setifikat Halal nya khawatir palsu 😂😂😂😂,anjirrr setifikat halal nya khawatir palsu
DUO EDAN BIKIN NGAKAK😆,duo edan bikin ngakak
Bro solo ternyata asik juga😂,bro solo ternyata asik juga
"Jadi ingat pas muslim nelfon gibran dinpodcast,,kyk nya mg betul wkwk",jadi ingat pas muslim nelfon gibran dinpodcastkyk nya mg betul wkwk
😂😂😂😂,
"Setelah STY dipecat, dan wapres hatrick di papua...  Bubarkann sajaaaa PSSI. 
sepak bola kitaa tidak ada yg bisaaa diharappkaaannn... chaaakkss😅",setelah sty dipecat dan wapres hatrick di papua bubarkann sajaaaa pssi sepak bola kitaa tidak ada yg bisaaa diharappkaaannn chaaakkss
anjirr ngundang wakil presiden,anjirr ngundang wakil presiden
Di bebek carok tebek shooting nya  kan?,di bebek carok tebek shooting nya kan
"Saya selama nonton, nelen ludah mulu :
1. Karena nafsu pengen nimbrung ngeritik langsung depan beliau
2. Karena nafsu pengen ikut makan",saya selama nonton nelen ludah mulu karena nafsu pengen nimbrung ngeritik langsung depan beliau karena nafsu pengen ikut makan
baru 24 detik jokesnya udah satt,baru detik jokesnya udah satt
Ini mah yang nahan sabar si Coki Muslim :D,ini mah yang nahan sabar si coki muslim d
Sebenarnya mas Gibran ini humoris... tapi ya gitu lah... beliau masih dilingkaran politik... jadi agak susah ngebanyol... kayak nya sih gitu...,sebenarnya mas gibran ini humoris tapi ya gitu lah beliau masih dilingkaran politik jadi agak susah ngebanyol kayak nya sih gitu
HAHAHAHAHAH,hahahahahah
Tanyain Prelove Syahrini,tanyain prelove syahrini
"sial, lucu lagi",sial lucu lagi
"Wajah ngantuk, dongeng 19 jt loker, anak Haram konstitusi. 

GIBRAN.",wajah ngantuk dongeng jt loker anak haram konstitusi gibran
Mas IKN bisa buat survive rakyat UMR 5jt an  nga?,mas ikn bisa buat survive rakyat umr jt an nga
Nitip pesan ke mas wapres cari fufufafa sama bapaknya.,nitip pesan ke mas wapres cari fufufafa sama bapaknya
Solo vs duo 😱,solo vs duo
kelassss. tenang mas Gibran Semangat ❤❤,kelassss tenang mas gibran semangat
Yah malah dikasih panggung,yah malah dikasih panggung
Gak sengaja kepikiran selama obrolan ada pembeli tibatiba tantrum dan ngamuk ke Wapres bahas masalah negara 😂,gak sengaja kepikiran selama obrolan ada pembeli tibatiba tantrum dan ngamuk ke wapres bahas masalah negara
Cebokin trus bang sampek bersih tuh nepo baby..,cebokin trus bang sampek bersih tuh nepo baby
Pria solo itu lagi 2.0,pria solo itu lagi
"Panji roasting tapi ga ada orangnya , cokmus roasting depan orangnya diliatin paspampres , polisi ,tni dan sniper wkwkwk",panji roasting tapi ga ada orangnya cokmus roasting depan orangnya diliatin paspampres polisi tni dan sniper wkwkwk
"Waah, banyak sekali buzzer2 berkumpul disini. Udah pada cairan belum?",waah banyak sekali buzzer berkumpul disini udah pada cairan belum
"bejir bisa sampe di undang ke podcast, emang keren banget nih besti wapres 😭",bejir bisa sampe di undang ke podcast emang keren banget nih besti wapres
Diam tapi mematikan....lihat aja selama 10 tahun...hancur...lugu ga berarti baik...,diam tapi mematikanlihat aja selama tahunhancurlugu ga berarti baik
"I don't know.. makin kesini gw makin ngerasa kaya Gibran itu ""Korban"" kejahatan bapaknya. Yang melakukan kejahatan politik itu kan bapaknya, yg merusak dan ngangkangin negeri ini bapaknya. Dan mnrt gw Gibran ini hanya ""alat"" perpanjangan kejahatan bapaknya.

Gak tau yaa...",i dont know makin kesini gw makin ngerasa kaya gibran itu korban kejahatan bapaknya yang melakukan kejahatan politik itu kan bapaknya yg merusak dan ngangkangin negeri ini bapaknya dan mnrt gw gibran ini hanya alat perpanjangan kejahatan bapaknya gak tau yaa
Masih berani MUI ga ngeluarin stempel halal dibebek carok?,masih berani mui ga ngeluarin stempel halal dibebek carok
"5:03 ANjing ngakak sakit perut gw, spesialis laminating ijazah 😂🤣😭🤣",anjing ngakak sakit perut gw spesialis laminating ijazah
"Dulu di mli aku ngerasa kalian gila, tapi sekarang lebih gila",dulu di mli aku ngerasa kalian gila tapi sekarang lebih gila
Najwa Shihab sungkem,najwa shihab sungkem
Harusnya ini trending #1 sih ya 😹😹😹 kan sudah ngundang admin negara 😹,harusnya ini trending sih ya kan sudah ngundang admin negara
Ga ada yang komen termul?,ga ada yang komen termul
Sama wApres lu gue SOPAN tuh keknya😂😂,sama wapres lu gue sopan tuh keknya
Kocak hostnya 😂🤣🤣🤣,kocak hostnya
ku kira AI 😂,ku kira ai
Woy bebekcarok mau kena kasus gratifikasi ini 😂😂,woy bebekcarok mau kena kasus gratifikasi ini
"Salute Sama Mas Gibran, pengendalian emosinya top.",salute sama mas gibran pengendalian emosinya top
Jangan sampai segel fufufafa terlepas,jangan sampai segel fufufafa terlepas
gelap woiii,gelap woiii
Gibran ketawa ditahan,gibran ketawa ditahan
Tretan:Tapi mas beneren ngantukan?😂,tretantapi mas beneren ngantukan
Kocak hostnya 😂🤣🤣🤣,kocak hostnya
Harusnya ada Roy suryo cs 🤣,harusnya ada roy suryo cs
wkwkwk kocak...,wkwkwk kocak
"15:36 jadi inget dlu SMP pernah ada temen beneran se-slow mas gibran ini, bahkan dibully sebagaimana pun masih cengengesan (bakan sampe fisik). Mungkin memang benar spektrum orang beda²",jadi inget dlu smp pernah ada temen beneran seslow mas gibran ini bahkan dibully sebagaimana pun masih cengengesan bakan sampe fisik mungkin memang benar spektrum orang beda
Keren emng fufufafa😂,keren emng fufufafa
ini siapa yang disuruh tahan sabar?,ini siapa yang disuruh tahan sabar
1:32 WKWKWKWKW asem kau editor,wkwkwkwkw asem kau editor
Salfok sama kasirnya,salfok sama kasirnya
komedi depan wapres 🤣🤣,komedi depan wapres
Eyaaakk para buzzer mulai digerakkan,eyaaakk para buzzer mulai digerakkan
Mau ketawa takut ditangkep,mau ketawa takut ditangkep
Hasil pemilu 76 triliun rupiah..,hasil pemilu triliun rupiah
ini gibran atau AI? WKWK,ini gibran atau ai wkwk
tretan muslim emng bgstttttttt 🤣,tretan muslim emng bgstttttttt
Jujurr.. durasi kurang panjang mas tretan 😁,jujurr durasi kurang panjang mas tretan
Ini udah palung mariana bukan jurang 😂,ini udah palung mariana bukan jurang
"Semoga ga kaya bapak nya, yang keluar di mulutnya dengan kelakuan di belakang beda semua. Klo dia bilang A pasti yang kejadian B",semoga ga kaya bapak nya yang keluar di mulutnya dengan kelakuan di belakang beda semua klo dia bilang a pasti yang kejadian b
"5:34 mas mas madura anj**g, ngakak gua 😂",mas mas madura anjg ngakak gua
Bang Tanya fufafa,bang tanya fufafa
cima disini wakil presiden di cakkin gini gaada wibawanya,cima disini wakil presiden di cakkin gini gaada wibawanya
Kerja woi,kerja woi
Hadeuhhh....masalah negara besar diurus sama anak bau kencur...rusak negara..bukan mikir malah main2 ga jelas,hadeuhhhmasalah negara besar diurus sama anak bau kencurrusak negarabukan mikir malah main ga jelas
wapres jadi jubir wkwkwk,wapres jadi jubir wkwkwk
"17:50 Yang dibahas membership Bebek carok malah bahas ruangan meeting, ah 😌",yang dibahas membership bebek carok malah bahas ruangan meeting ah
saaatttt🤣🫩,saaatttt
Hahhahahahaha  Panjiiiii,hahhahahahaha panjiiiii
Yang ribet fans lu kan mas ?,yang ribet fans lu kan mas
Undang di podcast kesenjangan sosial....,undang di podcast kesenjangan sosial
Gaada pertanyaan fufufafa itu mas griban bukan ?,gaada pertanyaan fufufafa itu mas griban bukan
Jangan bilang ini ai,jangan bilang ini ai
bjirr,bjirr
Wkwkwkw savage,wkwkwkw savage
tepi jurang bangetttt🥹🥹,tepi jurang bangetttt
Apakah ini Ai? Serius nanya?,apakah ini ai serius nanya
Apakah baru tretan yg berani undang pria solo,apakah baru tretan yg berani undang pria solo
nasib punya #2 konten kreator,nasib punya konten kreator
0:52 cuk itu lagi ngejokes ketawa lah dikit😂,cuk itu lagi ngejokes ketawa lah dikit
itu kan pria solo jr,itu kan pria solo jr
kelaz pak wapress,kelaz pak wapress
"SMK Nusantara 1 Ciputat belom dapet mbg, yang dapet SMA sama SMP nya doang SMK nya belom dapet",smk nusantara ciputat belom dapet mbg yang dapet sma sama smp nya doang smk nya belom dapet
Trending 1 sih harusnya 😂😂😂😂😂,trending sih harusnya
Coba tanyain soal fufufafa,coba tanyain soal fufufafa
"INI PINGGIR NERAKA SEKALI, BUKAN PINGGIR JURANG",ini pinggir neraka sekali bukan pinggir jurang
"Diliat2 Gibran mirip prof Yusril , bener ga sih?",diliat gibran mirip prof yusril bener ga sih
AI ya anjirrr hah??,ai ya anjirrr hah
Top chanel pinggir jurang tahun 2026😭🤣,top chanel pinggir jurang tahun
Ai,ai
"negara lagi kacau balau, masih sempet2nya ngpodcast ini Wapres :) hebat oh iya lupa dia kan GIBRAN",negara lagi kacau balau masih sempetnya ngpodcast ini wapres hebat oh iya lupa dia kan gibran
Ayo login akun fufufafa lagi dong,ayo login akun fufufafa lagi dong
Suruh tidur dulu itu pak gibran ny lagi ngantuk😹,suruh tidur dulu itu pak gibran ny lagi ngantuk
Annjinggg,annjinggg
membahas manuver di 2029✊,membahas manuver di
Video ini layak mendapatkan 19jt views,video ini layak mendapatkan jt views
sadis ini dari pada Pandji....🤣🤣🤣🤣🤣🤣,sadis ini dari pada pandji
"Hot Takes, sebenernya ni orang GAPAPA jadi Wapres, cuma waktunya aja kecepetan. Klo udah mateng dan mature si cocok-cocok aja, ya klo masalah opsi mah pasti ada yg lebih cocok wkwk",hot takes sebenernya ni orang gapapa jadi wapres cuma waktunya aja kecepetan klo udah mateng dan mature si cocokcocok aja ya klo masalah opsi mah pasti ada yg lebih cocok wkwk
4:31 BLOKKKK😂,blokkkk
haha SE ngangur itu,haha se ngangur itu
Hmmm wapres yg approachable ya bisa santai di yt cokmus,hmmm wapres yg approachable ya bisa santai di yt cokmus
Kalo bahas akun fafa fufu lebih rame si😅,kalo bahas akun fafa fufu lebih rame si
Ujung tanduk….,ujung tanduk
4:19 ini ngakak satt,ini ngakak satt
wapres yang terima kritikan dan bullyan cuma mas gibran sih😂,wapres yang terima kritikan dan bullyan cuma mas gibran sih
Kayanya udah cair nih😅,kayanya udah cair nih
orgnya chill. pendukungnya sinting semua ,orgnya chill pendukungnya sinting semua
Los polos hermanos,los polos hermanos
itu kan anak dari solo?,itu kan anak dari solo
Pria Solo itu lagi? ahh mungkin hanya perasaanku saja,pria solo itu lagi ahh mungkin hanya perasaanku saja
"Klik, pause, trus komen BOIKOT BEBEK CAROK 🔥🔥🔥🔥, OWNERNYA MASIH JADI BUZZER CUIIHHH",klik pause trus komen boikot bebek carok ownernya masih jadi buzzer cuiihhh
belom tidur dia,belom tidur dia
Bebek Carok Tebet ya ini wkwk,bebek carok tebet ya ini wkwk
"ini tahan sabar atau klarifikasi, mas Tretan? wkwkwkwkwk",ini tahan sabar atau klarifikasi mas tretan wkwkwkwkwk
mens rea mungkin bs 19jt penonton tp 19jt lapangan pekerjaan cuma penonton,mens rea mungkin bs jt penonton tp jt lapangan pekerjaan cuma penonton
AWKOAWKOKWOAOAKWAWOKWAKOWAOAWOK,awkoawkokwoaoakwawokwakowaoawok
Hahaha bos mutan,hahaha bos mutan
🤣,
"Setidaknya panji dapat makan dr keluarga pak Jokowi,,😊😊",setidaknya panji dapat makan dr keluarga pak jokowi
"Ngomongin orang di belakang ❌
Ngomongin orang langsung didepan orangnya ✅",ngomongin orang di belakang ngomongin orang langsung didepan orangnya
15:01  Wahh pantes mahal 😂😂,wahh pantes mahal
Seharusnya GIBRAN jadi wapres ukraina 🥀,seharusnya gibran jadi wapres ukraina
"PANJI SAMA ROY SURYO LUCU AN MANA???

TOLONGGGGGGGGGGGGGGGGGG🤣🤣🤣🤣🤣🤣😭",panji sama roy suryo lucu an mana tolongggggggggggggggggg
"gua akuin , cuma tretan & muslim yg nyawanya double 7,,... tapi ati ati lu kasih kartu membersip malah jadi gratifikasi wkwkw",gua akuin cuma tretan muslim yg nyawanya double tapi ati ati lu kasih kartu membersip malah jadi gratifikasi wkwkw
nonton disini interview berjalan lancar daripada di portal berita,nonton disini interview berjalan lancar daripada di portal berita
1 menit pertama gw udh gak kuat. Ngiluuu,menit pertama gw udh gak kuat ngiluuu
"fix ini perpanjang kontrak, 2029 bentar lagi.",fix ini perpanjang kontrak bentar lagi
Parah coki tiba2 main ambil haknya wapres(tahu goreng),parah coki tiba main ambil haknya waprestahu goreng
😂😂😂😂 anjing kocax abiezz,anjing kocax abiezz
sattt langsung raja terakhir keluar,sattt langsung raja terakhir keluar
new character unlock🔓: ambasador bebek carok RI 2,new character unlock ambasador bebek carok ri
"junjungannya chill, pengikutnya KOAR KOAR oakwokawokaowkoawk",junjungannya chill pengikutnya koar koar oakwokawokaowkoawk
Nilai kontrak kali ini lebih gede dibandingkan dengan pas pemilu ya mas muslim? Wkwk,nilai kontrak kali ini lebih gede dibandingkan dengan pas pemilu ya mas muslim wkwk
Di lihat lihat dari matanya sih nyawit ni orang,di lihat lihat dari matanya sih nyawit ni orang
AI,ai
Apakah bayar makannya menggunakan APBN?,apakah bayar makannya menggunakan apbn
"Sangat positif sekali 3orang ini
1 positif s**u
1 positif buzzer 02
1 positif fufufafa",sangat positif sekali orang ini positif su positif buzzer positif fufufafa
Ai,ai
WAKIL PRESIDEN REPUBLIK INDONESIA 😂,wakil presiden republik indonesia
Apakah vidio ini editan AI,apakah vidio ini editan ai
"😂buuahahhahaaa the king ngantuk diundang 😂 cuakzzz ,kebanggaan para termul",buuahahhahaaa the king ngantuk diundang cuakzzz kebanggaan para termul
"Aura ""..."" kentel banget kalo bareng choki-muslim.",aura kentel banget kalo bareng chokimuslim
Tebak isi hati coki😂😂😂😂,tebak isi hati coki
Punya wapres kerjaannya ngelawak,punya wapres kerjaannya ngelawak
memang bang muslim😅😅😅,memang bang muslim
Ini pemeran dracin yg biasanya jadi CEO bukan sih,ini pemeran dracin yg biasanya jadi ceo bukan sih
lucu juga mas wapres hari ini.... siapa comcon-nya buat vidio ini?,lucu juga mas wapres hari ini siapa comconnya buat vidio ini
Ini AI yaa?,ini ai yaa
Pria ngantuk itu lagi 😂,pria ngantuk itu lagi
bagas di lock anjer wkwkwkwk,bagas di lock anjer wkwkwkwk
Orang seasik ini aja masih di hate,orang seasik ini aja masih di hate
4:20 sumpah Ngakak Kenceng gw😂😂,sumpah ngakak kenceng gw
Salah satu penggunaan Buzzer yang benar,salah satu penggunaan buzzer yang benar
Ehhhhhhh mas gibrannya aja santai wkwkwkkw pendukungnya ajaaaa wkwkwkkw lawakkk lawakkk ngapa sihhhh 😂😂😂😂😂😂😂,ehhhhhhh mas gibrannya aja santai wkwkwkkw pendukungnya ajaaaa wkwkwkkw lawakkk lawakkk ngapa sihhhh
"Kalo Bukan Buzzer Yang Nyamar Jadi Influencer, Secara Waktu dan Kesempatan Akan Sulit Buat Undang Wapres Ke Podcast. Kenapa Coki Sama Muslim Ini Bisa Ngundang Wapres,Ya Karena Aslinya Mereka Ini Termul 😂",kalo bukan buzzer yang nyamar jadi influencer secara waktu dan kesempatan akan sulit buat undang wapres ke podcast kenapa coki sama muslim ini bisa ngundang wapresya karena aslinya mereka ini termul
Hahaha,hahaha
Kecerdasan emosional wapres kita luar biasa ....,kecerdasan emosional wapres kita luar biasa
Itu kan anak nya raja solo,itu kan anak nya raja solo
Muslim kcau bener😂,muslim kcau bener
nah gini dong,nah gini dong
"Mas gibran klau bkn jaga image wapres, psti dah ngkakkk😭🤣🤣",mas gibran klau bkn jaga image wapres psti dah ngkakkk
Bangsat pas bahas sertif halal keknya Mas Gib nonton Noice yang muslim marah2 gara2 sertifikat halal gak keluar🤣,bangsat pas bahas sertif halal keknya mas gib nonton noice yang muslim marah gara sertifikat halal gak keluar
itu Paspamres nya di kasih membership bebek carok ga yah 😂,itu paspamres nya di kasih membership bebek carok ga yah
Audio nya berisik bjir,audio nya berisik bjir
Anjir salah satu final boss cok😅,anjir salah satu final boss cok
"terbukti dengan memberi subtitle dengan timestamps, yang punya akun takut di cancle dua kali😂",terbukti dengan memberi subtitle dengan timestamps yang punya akun takut di cancle dua kali
Coki canggung owkwok,coki canggung owkwok
kok lancar ga kaya kalo lagi turun ke masy. 🙏🏽,kok lancar ga kaya kalo lagi turun ke masy
Kartu membership ke wapres? Halo KPK..🤨🧐🧐,kartu membership ke wapres halo kpk
Sesantai apa pekerjaan beliau sampai banyak waktu untuk mengisi acara sekontol ini😅,sesantai apa pekerjaan beliau sampai banyak waktu untuk mengisi acara sekontol ini
wah kewanen nek iki cak muslim,wah kewanen nek iki cak muslim
wapres keren gini bisa becanda bersama komika.. mantabb,wapres keren gini bisa becanda bersama komika mantabb
Pembangunan lahan sawit lagi bukan yaa?,pembangunan lahan sawit lagi bukan yaa
fufufufuafafafaf,fufufufuafafafaf
"11:29 saya daftar MBG disekitar rumah Ga pernah masuk , kalah sama ordal.



Hidup nepotisme 😢",saya daftar mbg disekitar rumah ga pernah masuk kalah sama ordal hidup nepotisme
"Emang santai, tapikan GPU mas diluar sana kepanasan",emang santai tapikan gpu mas diluar sana kepanasan
New mutan unlock,new mutan unlock
Anjir muslim coky ngakak bangettt😂😂😂,anjir muslim coky ngakak bangettt
lucu banget mas gibran malah salah fokus ke orang meeting di bebek carok. kepikiran itu pengen mindahin rapat dpr di bebek carok wkwkwk.,lucu banget mas gibran malah salah fokus ke orang meeting di bebek carok kepikiran itu pengen mindahin rapat dpr di bebek carok wkwkwk
"apakah akan penuh comment deadwood atau buzzer, ch7aksz",apakah akan penuh comment deadwood atau buzzer chaksz
Ini wapres loh.... Bukan orang sembarangan. 😂 cuma di indonesia wapres sesantuy ini. 😅,ini wapres loh bukan orang sembarangan cuma di indonesia wapres sesantuy ini
Ninggal jejak sebelum trending 😁😁,ninggal jejak sebelum trending
Ngeri ngeri sedeppppp,ngeri ngeri sedeppppp
Anjir ga nyangka langsung summon final boss WKWKWKWK,anjir ga nyangka langsung summon final boss wkwkwkwk
"Bagi yg masih bilang kebebasan ber ekspresi dibungkam. Gak buta kan? 😅 selama ini emang paling enak paling gampang ngecengin presiden dan wapres, karena jarang marah, paling pendukungnya. Justru ngecengin instansi atau perorangan yg lebih bahayaa😅 Tapi sayangnya public figur contoh seperti pandji, mendoktrin masyarakat supaya menganggap kritik presiden dan wapres auto culik, padahal mah sampai sekarang baek baek aja, justru RAKYATNYA kadang yg amoral wkwk, siap siap di katain termul sama anak abah dan ternak oposisi😂",bagi yg masih bilang kebebasan ber ekspresi dibungkam gak buta kan selama ini emang paling enak paling gampang ngecengin presiden dan wapres karena jarang marah paling pendukungnya justru ngecengin instansi atau perorangan yg lebih bahayaa tapi sayangnya public figur contoh seperti pandji mendoktrin masyarakat supaya menganggap kritik presiden dan wapres auto culik padahal mah sampai sekarang baek baek aja justru rakyatnya kadang yg amoral wkwk siap siap di katain termul sama anak abah dan ternak oposisi
Apakah video ini ai?,apakah video ini ai
"sekaligus menyingkap realitas bahwa akses ekonomi terhadap layanan streaming premium tidak serta-merta mencerminkan kematangan jiwa penontonnya dalam memproses materi gelap secara bijak.""",sekaligus menyingkap realitas bahwa akses ekonomi terhadap layanan streaming premium tidak sertamerta mencerminkan kematangan jiwa penontonnya dalam memproses materi gelap secara bijak
kecewa ga bahas 19 lapangan kerrrrrrjwa,kecewa ga bahas lapangan kerrrrrrjwa
9:04 ketar ketir😂😂😂,ketar ketir
semakin dekat untung menghadirkan ketua guil ni🗿,semakin dekat untung menghadirkan ketua guil ni
Mutan baru kah itu bang,mutan baru kah itu bang
Kudune komunikasi pemereintah via ngene iki ae 😂,kudune komunikasi pemereintah via ngene iki ae
Fvk🎉🎉🎉,fvk
nah ini,nah ini
"Seperti biasa ""kosong"" 😂",seperti biasa kosong
17:06 aneh,aneh
Lord Gibran Penguasa Solo Kingdom 🫡 🫡🫡,lord gibran penguasa solo kingdom
ah pria solo itu lagi,ah pria solo itu lagi
Wapres gue selow jugaaa ternyataa 🔥🔥,wapres gue selow jugaaa ternyataa
"sepertinya karena terlalu banyak ""noise"" , audio video ini pun terasa tenggelam seperti suara r",sepertinya karena terlalu banyak noise audio video ini pun terasa tenggelam seperti suara r
"Dianya santai, fansnya yang kepanasan sampe pasang badan😂",dianya santai fansnya yang kepanasan sampe pasang badan
Tinggal tunggu waktu aja buat di Lantik Komisaris Madas,tinggal tunggu waktu aja buat di lantik komisaris madas
"langsung buat spanduk ""mas gibran pernah makan disini chaaaakz""",langsung buat spanduk mas gibran pernah makan disini chaaaakz
"sebenernya cokmus ini udah megang free pass dari paspampres, udah ada stempel dari kantor wapres..jadi lebih aman dari panji 😂

cokmus levelnya diatas panji..😂",sebenernya cokmus ini udah megang free pass dari paspampres udah ada stempel dari kantor wapresjadi lebih aman dari panji cokmus levelnya diatas panji
"Kok ini normal 😂 kek orang nongkrong pada umumnya.
Real pemalu mas gibran ini keknya, klo ngerasa g pada tempatnya jadi lebih kagok aja kek saya 😂",kok ini normal kek orang nongkrong pada umumnya real pemalu mas gibran ini keknya klo ngerasa g pada tempatnya jadi lebih kagok aja kek saya
Bangsat sekali 2 orang ini😂.,bangsat sekali orang ini
Mutan,mutan
ah trio goblok,ah trio goblok
PRIA SOLO ITU LAGI,pria solo itu lagi
"Info, adakah di vidio ini tretan atau coki menanyakan siapa ""fufufafa"" sebenarnya? Kalo ada dimenit berapa? Wkwkwkwk😅",info adakah di vidio ini tretan atau coki menanyakan siapa fufufafa sebenarnya kalo ada dimenit berapa wkwkwkwk
14:47 sattttt,sattttt
"berpotensi diclipper ,,,meninggalkan jejak aslii",berpotensi diclipper meninggalkan jejak aslii
Part 2 ..... Part 2,part part
"coba dong bahas fufufafa didepan gibran ngobrolin itu yang lama berani ga kalian wkwkk, gw mau liat ke awkwardannya wkwkk",coba dong bahas fufufafa didepan gibran ngobrolin itu yang lama berani ga kalian wkwkk gw mau liat ke awkwardannya wkwkk
Dari menit awal sampai menit akhir dia berusaha buka mata,dari menit awal sampai menit akhir dia berusaha buka mata
"kangen duo maut begini , sekali tampil combo nya kuat banget",kangen duo maut begini sekali tampil combo nya kuat banget
Moment langka,moment langka
mas gibran ketawanya di tahan paspampres,mas gibran ketawanya di tahan paspampres
Kok ga ditanyain password kaskus fufufafa?,kok ga ditanyain password kaskus fufufafa
"buseet wakil raja d datengi,, 👏👏👏",buseet wakil raja d datengi
cuma coki yg berani nyomot makanan wapres,cuma coki yg berani nyomot makanan wapres
"Dua kali diputar,  mana nih pertanyaan 19 juta lapangan kerja?  🤔🤔🤔",dua kali diputar mana nih pertanyaan juta lapangan kerja
BANYAK YG TERSINGGUNG PADAHAL SI GIBRAN BIASA AJA WKWKWK,banyak yg tersinggung padahal si gibran biasa aja wkwkwk
Respect pak wapres 😂,respect pak wapres
"gibran terikat wkwk, semenjak jadi wapres wkwk",gibran terikat wkwk semenjak jadi wapres wkwk
Paraah😂😂😂,paraah
Ini ai kah ?,ini ai kah
WHYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,whyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
Coki muslim sdg menyiarkan program pemerintah,coki muslim sdg menyiarkan program pemerintah
"bener gak nyambung jing, coki bilang informatika malah di jelasin ulang sama gibran🤣",bener gak nyambung jing coki bilang informatika malah di jelasin ulang sama gibran
Sadar gasih kalo dia lagi di roasting secara alus??? 😂,sadar gasih kalo dia lagi di roasting secara alus
Mereka itu baik2 aja. Jadi tolong jangan adu domba ya. Nglapor2in panji segala. Meraka santaii woyyy,mereka itu baik aja jadi tolong jangan adu domba ya nglaporin panji segala meraka santaii woyyy
"Ladies and gentleman..
Please welcome, the one and only.. The Oslo man!!!

Ups... Solo man!!!",ladies and gentleman please welcome the one and only the oslo man ups solo man
Itukan Gibran tolol 😂😂😂,itukan gibran tolol
ngantukkk,ngantukkk
WTF,wtf
Yg masih gak suka mas gibran. Masih ngayal bngt punya wakil si cakimin,yg masih gak suka mas gibran masih ngayal bngt punya wakil si cakimin
😅😅😅,
PRIA SOLOOO😢,pria solooo
Bisa bisanya tretan menggrebek kekuasaan tertinggi,bisa bisanya tretan menggrebek kekuasaan tertinggi
yahh FufuFafa,yahh fufufafa
"Di bayar berapa jadi buzzer lem ? 
Mau la nggak ada kerjaan aku",di bayar berapa jadi buzzer lem mau la nggak ada kerjaan aku
"Anak pria solo,itu..",anak pria soloitu
"Kata yg tidak boleh di sebut di podcast ini ""Fufufafa"" ,,😅✌️",kata yg tidak boleh di sebut di podcast ini fufufafa
Cuma orang tolol yang percaya kalau ijasah mas gibran dan jokowi palsu 😂,cuma orang tolol yang percaya kalau ijasah mas gibran dan jokowi palsu
AI,ai
final boss mencoba bersih bersih 😂,final boss mencoba bersih bersih
njir klo masalah Jujutsu Kaisen dia tau,njir klo masalah jujutsu kaisen dia tau
Mas gibran mah santai tapi demo adili pandji tetep jalan wkwkkw,mas gibran mah santai tapi demo adili pandji tetep jalan wkwkkw
Waktu itu kamu pernah bercerita,waktu itu kamu pernah bercerita
damn bro si pria solo itu,damn bro si pria solo itu
Dari menit awal nahan ngakak mulu 😅,dari menit awal nahan ngakak mulu
"emang top, paman coki manggil wapres Lo... salim paman 🙏🏻",emang top paman coki manggil wapres lo salim paman
"SEBENERNYA GIBRAN INI WARAS LOH. CUMA KEBURU KECEMPLUNG POLITIK AJA. PERGERAKANNYA JADI KEKUNCI DAN SCRIPTED.

*YANG GA WARAS JUSTRU PENDUKUNGNYA YANG MINIM LITERASI.",sebenernya gibran ini waras loh cuma keburu kecemplung politik aja pergerakannya jadi kekunci dan scripted yang ga waras justru pendukungnya yang minim literasi
i always tell the truth even when i lie,i always tell the truth even when i lie
