comment,clean_comment,sentiment
😂😂😂 disuruh g*bl*k depan komika kok ya manut,disuruh gblk depan komika kok ya manut,negative
"Setuju,sisi fufufafa nya keluar",setujusisi fufufafa nya keluar,negative
13.00 Sat,sat,positive
Cuma si coki berani manggil lo ke gibran 😂,cuma si coki berani manggil lo ke gibran,negative
4:34 dead air terlama paman coki,dead air terlama paman coki,neutral
kaya bukan wapres njir,kaya bukan wapres njir,negative
"Tahan Sabar = ❌
Tahan Tawa  = ✅",tahan sabar tahan tawa,negative
"12:09 jangan langsung percaya apa yang ada di sosmed ya kawan kawan, semuanya gampang di setting, pikiran knp girban bela belain datang ke tretan universe klo bukan untuk membuat citra bahwa dia tidak anti kritik😂 lah terus yang nyuruh buat laporan yang katanya dari NU dan muhamadiyah itu siapaa😂 faktanya pemerintah tau bahwa gen Z udah pada mulai kritis dan pinter mereka sangat takut kekuasaan mereka berakhir di 2029 tahun 2029 ada kemungkinan Indonesia bubar kalau engga bubar palingan jadi otoriter 😂",jangan langsung percaya apa yang ada di sosmed ya kawan kawan semuanya gampang di setting pikiran knp girban bela belain datang ke tretan universe klo bukan untuk membuat citra bahwa dia tidak anti kritik lah terus yang nyuruh buat laporan yang katanya dari nu dan muhamadiyah itu siapaa faktanya pemerintah tau bahwa gen z udah pada mulai kritis dan pinter mereka sangat takut kekuasaan mereka berakhir di tahun ada kemungkinan indonesia bubar kalau engga bubar palingan jadi otoriter,negative
Gue yang deg degan 🗿,gue yang deg degan,negative
The Real Best Friends 👏🙌😹,the real best friends,positive
Plonga plongo gitu gajinya lebih gede dari kalian😂,plonga plongo gitu gajinya lebih gede dari kalian,negative
"02:00 lama2 gw liat makin hebat sih ni orang,besar hati sekarang",lama gw liat makin hebat sih ni orangbesar hati sekarang,positive
🤣🤣🤣 HIDUP MAS WAPRESSSSS,hidup mas wapresssss,neutral
njir tambah laku ini bebek carok,njir tambah laku ini bebek carok,positive
Cokii cukkks ketahuan banget nahan tawanya😂😂😂😂,cokii cukkks ketahuan banget nahan tawanya,negative
"Dan kita semua bingung ini video apa?
Klarifikasi Mas Wapres ?
Roasting Coki Muslim ?
Promo Usaha Bebek ?
Atau Promo Program Pemerintah ?

😂😂😂😂",dan kita semua bingung ini video apa klarifikasi mas wapres roasting coki muslim promo usaha bebek atau promo program pemerintah,negative
Masi ga percaya mas gibran mau di podcast...,masi ga percaya mas gibran mau di podcast,negative
"""Yang kritik pemerintah cuma panji doang, kita mah enggak""
Apalahh wkwkw",yang kritik pemerintah cuma panji doang kita mah enggak apalahh wkwkw,negative
"why ini wakil presiden lo wakil orang ke dua sekrng di indonesia, emng gak kerja ia😅",why ini wakil presiden lo wakil orang ke dua sekrng di indonesia emng gak kerja ia,negative
Jirr ngeri ni podcast. .sama king,jirr ngeri ni podcast sama king,negative
PART 2 please 🙏,part please,neutral
Jadi bayarannya tukeran konten uwowwo,jadi bayarannya tukeran konten uwowwo,neutral
"dulu alatnya ulama gus gusan, sekarang udah ngga berlaku, ganti ke infuencer awok awok...",dulu alatnya ulama gus gusan sekarang udah ngga berlaku ganti ke infuencer awok awok,neutral
fuuuuuuuu,fuuuuuuuu,positive
"yg tengah sebenernya pengen ketawa cuma nahan aja itu, coba belom jadi wapres udh ketawa dia",yg tengah sebenernya pengen ketawa cuma nahan aja itu coba belom jadi wapres udh ketawa dia,negative
"14:54, Waaahhh Pantes Mahal, wkwkwkwk.
Thx",waaahhh pantes mahal wkwkwkwk thx,negative
"Level nya mas wapres ya, di sini jangan yang berat, jangan bahas pendidikan, ekonomi, lingkungan hidup, geopolitik.

Yang enteng enteng aja😂😂😂",level nya mas wapres ya di sini jangan yang berat jangan bahas pendidikan ekonomi lingkungan hidup geopolitik yang enteng enteng aja,negative
"seneng ternyata bs minta maaf, tidak seperti pria sawit yang selalu menyalahkan asing😢",seneng ternyata bs minta maaf tidak seperti pria sawit yang selalu menyalahkan asing,negative
Anies.. Manis yah.. Penjilat 🥵🥵,anies manis yah penjilat,negative
"wah, benar apa yang dibilang oleh Dr. Prabu Revolusi dengan video yg berjudul ""Kenapa MENSREA Pandji Malah Menguntungkan Prabowo–Gibran? Saya Jelasin Secara Ilmiah.""",wah benar apa yang dibilang oleh dr prabu revolusi dengan video yg berjudul kenapa mensrea pandji malah menguntungkan prabowogibran saya jelasin secara ilmiah,negative
"Pdhl yg bully Panji, BuzzeRp2 nya FufuFafa! Yg ngelaporin jg suruhan nya dia!!! Pura2 baik aja tuh FufuFafa!!!🖕🏼💩",pdhl yg bully panji buzzerp nya fufufafa yg ngelaporin jg suruhan nya dia pura baik aja tuh fufufafa,negative
SUMPAH GAK EXPECT ANJIR SMA WAPRES 😂😂,sumpah gak expect anjir sma wapres,negative
Ngeriii2 sedap😂,ngeriii sedap,positive
Lucu banget asli 😂wkwkw cumen mereka bercandain Gimik Gimik pesen makanan lagi hahaha 😂,lucu banget asli wkwkw cumen mereka bercandain gimik gimik pesen makanan lagi hahaha,positive
"habis ini didepan bebek carok ada banner, MAS WAPRES PERNAH KESINI...😁",habis ini didepan bebek carok ada banner mas wapres pernah kesini,positive
Solo Man,solo man,positive
Kacau kacau wkwkwkw.,kacau kacau wkwkwkw,negative
9:56 SESIMPEL PUTUSAN PAMAN USMAN😂😂,sesimpel putusan paman usman,neutral
"Pertahankan pejabat lucu ini😂
Biar semua ga serius"" amat,
agak aneh nih pejabat minta maaf😂",pertahankan pejabat lucu ini biar semua ga serius amat agak aneh nih pejabat minta maaf,negative
"Konten klarifikasi dateng, konten kritik gamau dateng, huuu solo",konten klarifikasi dateng konten kritik gamau dateng huuu solo,negative
"Woi muslim, mau kasi member makan gratis  lifetime sama pejabat itu  GRATIFIKASI !!! 

DIbelakang layar kek jgn fulgar bgni, ketularan kan lo feodal  KKN nya ?! 
Dungu .",woi muslim mau kasi member makan gratis lifetime sama pejabat itu gratifikasi dibelakang layar kek jgn fulgar bgni ketularan kan lo feodal kkn nya dungu,negative
BENAR DUO EKSTRIM,benar duo ekstrim,positive
yg nonton sampe 19jt orang loh yaa,yg nonton sampe jt orang loh yaa,negative
"Pak wapres tolong..Sya guru honorer sudah mengabdi 18th dgn jarak tempuh 20KM,smpe dtik ini blum terangkat,tp sya sudah mengantongi Sertifikat Pendidik/TPG ..lulus 20-12-2024,tp smpek skrang belum cair,dan info A1 dri DIKNAS akan cair bulan januari akhir 2026..tp di potong 6bulan,jd hnya cair TW3 & TW4 saja..yg TW1 & TW2 di hapus..tolong dijawab Pak WAPRES..kenapa ini?
Sedangakan PNS & PPPK yg sudah bersertifikasi cair full..hnya yg honorer saja cair 6 bulan..Tolong Pak Wapres",pak wapres tolongsya guru honorer sudah mengabdi th dgn jarak tempuh kmsmpe dtik ini blum terangkattp sya sudah mengantongi sertifikat pendidiktpg lulus tp smpek skrang belum cairdan info a dri diknas akan cair bulan januari akhir tp di potong bulanjd hnya cair tw tw sajayg tw tw di hapustolong dijawab pak wapreskenapa ini sedangakan pns pppk yg sudah bersertifikasi cair fullhnya yg honorer saja cair bulantolong pak wapres,negative
Kurang lama,kurang lama,negative
Ternyata iklan bebek carog😅,ternyata iklan bebek carog,negative
perpanjang kontrak ya 😂,perpanjang kontrak ya,neutral
"Jujur potensi gibran jadi presiden lebih besar dari anis si,cuma panji doang yg gendong anis,sementara gibran didukung duo iblis",jujur potensi gibran jadi presiden lebih besar dari anis sicuma panji doang yg gendong anissementara gibran didukung duo iblis,negative
Capek liat muke die,capek liat muke die,negative
"SUMPILL KOSONG BAT!!!

CARA DIA BILANG KALO PELAPOR  GA ADA HUBUNGAN AMA DIA KELIATAN JELAS KALO GA MAU KETAUANN😂",sumpill kosong bat cara dia bilang kalo pelapor ga ada hubungan ama dia keliatan jelas kalo ga mau ketauann,negative
Chanel hebat ini cuk😅,chanel hebat ini cuk,positive
"ke biak, wamena dan harusnya Yahukimo, tapi pesawatnya ditembaki kkb. mas wapres ga jujur😅",ke biak wamena dan harusnya yahukimo tapi pesawatnya ditembaki kkb mas wapres ga jujur,negative
solo player,solo player,negative
jgn di tahan bang coki lepasin aja ketawanya...,jgn di tahan bang coki lepasin aja ketawanya,negative
"Tanya dong, dia fufufafa bukan sii",tanya dong dia fufufafa bukan sii,negative
"Dia kerja nggak sih, bisa nongol di sini 😂",dia kerja nggak sih bisa nongol di sini,negative
Anjay 😂😂😂,anjay,positive
"Untuk mas Gibran, punten mas Gibran 🙏 ... mas jangan di tahan ketawanya mas 🙏 lepaskan saja maaaasss 🙏🙏",untuk mas gibran punten mas gibran mas jangan di tahan ketawanya mas lepaskan saja maaaasss,negative
Pemuda solo,pemuda solo,positive
Haduuuh susah susah mas Pandji bikin Mens Rea sama Skak Mat. Gibrannya ke sini :(((,haduuuh susah susah mas pandji bikin mens rea sama skak mat gibrannya ke sini,negative
7:53 anjing lucu juga 😂😂😂😂😂,anjing lucu juga,positive
"Andalan disaat kepepet.. lumayan,bisa Kali satu cabang lagi..",andalan disaat kepepet lumayanbisa kali satu cabang lagi,positive
ga ngantuk ah..,ga ngantuk ah,negative
Ini adalah hiburan yg menghibur tretan dan coki sendiri 😂😂😂😂 lihat mereka berdua lepas sekali yaa,ini adalah hiburan yg menghibur tretan dan coki sendiri lihat mereka berdua lepas sekali yaa,positive
Ini lebiiiiiihhhhhh PARAAAAAAHHHHH 😅😅😅😅,ini lebiiiiiihhhhhh paraaaaaahhhhh,negative
Belum di tanya sudah dijawab. Jawabannya lebih tau duluan yang akan dinyatakan apa oleh paman coki lagi,belum di tanya sudah dijawab jawabannya lebih tau duluan yang akan dinyatakan apa oleh paman coki lagi,negative
selera komedinya anak kaskus sekali yah,selera komedinya anak kaskus sekali yah,positive
Part 2 ga mau tau!,part ga mau tau,negative
"Hati hati cok, kopi sianida",hati hati cok kopi sianida,neutral
Komika Penjilat!!!💩👎🏼,komika penjilat,negative
Nunggu coki nanya akun fufufafa punya gibran bukan,nunggu coki nanya akun fufufafa punya gibran bukan,neutral
"""Polisi kita membunuh, tentara kita berpolitik, presiden kita memaafkan koruptor, wapres kita gibran"" kata-kata pandji ini punchline jenius sih, karena wapres kita gibran bisa jadi dua arah, positif maupun negatif. jadi tergantung sepak terjang gibran kedepannya. nih klo positif, jadinya konten ini. seakan-akan menetralisir ""keterangan sebelum wapres""-nya pandji",polisi kita membunuh tentara kita berpolitik presiden kita memaafkan koruptor wapres kita gibran katakata pandji ini punchline jenius sih karena wapres kita gibran bisa jadi dua arah positif maupun negatif jadi tergantung sepak terjang gibran kedepannya nih klo positif jadinya konten ini seakanakan menetralisir keterangan sebelum wapresnya pandji,negative
"Bisa misuh didepan pria solo.....


CUAKZ",bisa misuh didepan pria solo cuakz,negative
Mas saya pengen ikut bapak Slow living di Solo,mas saya pengen ikut bapak slow living di solo,neutral
Caiirrr nih,caiirrr nih,negative
"keliatan baper nya ini orang cuman berusaha tetap tegar aja, hahahahahahahahah gua yakin dia merasa di cengcengin tuh, soalnya suasana nya jadi mentertawakan dia bukan tertawa bersama🤣",keliatan baper nya ini orang cuman berusaha tetap tegar aja hahahahahahahahah gua yakin dia merasa di cengcengin tuh soalnya suasana nya jadi mentertawakan dia bukan tertawa bersama,negative
"Peak jokes ketika kepala meraka menadah ke langit-langit sambil menjulurkan lidah seakan-akan dalam hati mereka berkata ""CHUAAKKSSSS""",peak jokes ketika kepala meraka menadah ke langitlangit sambil menjulurkan lidah seakanakan dalam hati mereka berkata chuaakkssss,negative
Tuh mas Gibran nya santai...masa Termul nya panas wkwkw,tuh mas gibran nya santaimasa termul nya panas wkwkw,positive
"jutsu nya masih tersegel. kalo segelnya lepas, brutal di roasting balik bisa bisa wkwkwjwj",jutsu nya masih tersegel kalo segelnya lepas brutal di roasting balik bisa bisa wkwkwjwj,negative
sungguh cerdas aktor muda madura ini secara tidak langsung promosi dagangannya dengan mendatangkan pria solo itu. btw  mbak kasirnya boljug itu cak tretan tolong di spill,sungguh cerdas aktor muda madura ini secara tidak langsung promosi dagangannya dengan mendatangkan pria solo itu btw mbak kasirnya boljug itu cak tretan tolong di spill,positive
Wkwkwk ketua🔥🔥🔥🔥,wkwkwk ketua,positive
Pak Gibran heran liat orang meeting serius? Emang selama ini kalo meeting bercanda pak? Izin 🙏🏻,pak gibran heran liat orang meeting serius emang selama ini kalo meeting bercanda pak izin,negative
jadi channel Humas Wapres ini slim wkwk,jadi channel humas wapres ini slim wkwk,neutral
Gibran kontol,gibran kontol,positive
Obrolan tepi 'jurang' 😅😅,obrolan tepi jurang,negative
"Tanyain dong, terakhir reuni sma dimana? 😂😂😂",tanyain dong terakhir reuni sma dimana,neutral
Saking ngakaknya jadi pengen belajar saham gratis bareng @bukannasehatsaham☕🗿,saking ngakaknya jadi pengen belajar saham gratis bareng bukannasehatsaham,negative
Panji Ga diajak,panji ga diajak,negative
Ngapain d kasih panggung nih orang 😮,ngapain d kasih panggung nih orang,neutral
"Usul aja bang...
Daripada mr. gibr ini keliatan di media kek plonga plongo(kata netijen lho ya),kenapa gak sekalian ente ama coki jadi stafsus/tangan kanan nya mr.gibr ini aja....
Kan kalo ente jadi stafsus/perpanjanan tangan mr.gibr,isu2 sosial macem mbg,sawit,dkk bisa lebih cepet keserap ama pemerintah.hasilnya kan ntar malah citra si gibr malah jadi positif

(Itupun kalo si mr.gibr ini beneran dipercaya ama mr.wowow daripada si buna tedai😂)

*Bismillah komisaris,amin",usul aja bang daripada mr gibr ini keliatan di media kek plonga plongokata netijen lho yakenapa gak sekalian ente ama coki jadi stafsustangan kanan nya mrgibr ini aja kan kalo ente jadi stafsusperpanjanan tangan mrgibrisu sosial macem mbgsawitdkk bisa lebih cepet keserap ama pemerintahhasilnya kan ntar malah citra si gibr malah jadi positif itupun kalo si mrgibr ini beneran dipercaya ama mrwowow daripada si buna tedai bismillah komisarisamin,negative
😂😂😂😂😂😂😂😂😂,,ERROR
"Dr tompi wajib ikut ini sama bu irma sih, btw yg harus nya di undang tv one 3 komika ini sih",dr tompi wajib ikut ini sama bu irma sih btw yg harus nya di undang tv one komika ini sih,neutral
dibelakang anda ad si gojek itu hati2 itu intel kaskus 😂😂,dibelakang anda ad si gojek itu hati itu intel kaskus,negative
😂😂😂😂 yg hoki mrk berdua,yg hoki mrk berdua,positive
Pria Solo Jr.,pria solo jr,positive
"Santai terus ya mas Gib, maapin tretan ama coki kalau ada salah😂😂😂",santai terus ya mas gib maapin tretan ama coki kalau ada salah,negative
"Aku salut sama wapresnya.
 Bangga gua punya wapres kaya gini,santai aja coi.",aku salut sama wapresnya bangga gua punya wapres kaya ginisantai aja coi,positive
Menyala bebek carok,menyala bebek carok,positive
Semangat mas gibran❤❤,semangat mas gibran,positive
4:19 nguwakkkaaaakkk gue cok😂😂,nguwakkkaaaakkk gue cok,negative
"Boleh gak saya bertanya ke gibran
 1 aja.
Tollong di jawab min",boleh gak saya bertanya ke gibran aja tollong di jawab min,neutral
paspampres di belakang kamera : masih saya lihatin...,paspampres di belakang kamera masih saya lihatin,neutral
"Pandji said : gua abis duut banyak buat roasting nuh orang, dua sejoli malah roasting deoan mukanya😂",pandji said gua abis duut banyak buat roasting nuh orang dua sejoli malah roasting deoan mukanya,negative
Coki agak kurusan skrg,coki agak kurusan skrg,negative
Jancokkk kudu nguyu tok aku cookkk,jancokkk kudu nguyu tok aku cookkk,neutral
Ajak main k malaka mas coki,ajak main k malaka mas coki,neutral
Nah ini gunanya punya chanell...buzerrnya bisa bantu mengharumkan dan membersihkan stigma orang yang di tengah itu,nah ini gunanya punya chanellbuzerrnya bisa bantu mengharumkan dan membersihkan stigma orang yang di tengah itu,negative
Wkwkwk SERU COK,wkwkwk seru cok,positive
Heyyy pemuda solo,heyyy pemuda solo,neutral
sumpah tolol banget anjiirrr🤣🤣🤣🤣🤣🤣,sumpah tolol banget anjiirrr,negative
hahahaha,hahahaha,positive
KE PAPUA OBSERVASI LAHAN BUAT SAWIT KAN ??? DALIH PEMBANGUNAN. BOHONG BANGET.,ke papua observasi lahan buat sawit kan dalih pembangunan bohong banget,negative
PAK GIBRAN DUDUK DENGAN 2 ORG NI SANGAT BERBAHAYA 😂,pak gibran duduk dengan org ni sangat berbahaya,negative
Nah harusnya gni. Dibawa chill aja. Gak kaya penjilat2 beliu di Acara debat,nah harusnya gni dibawa chill aja gak kaya penjilat beliu di acara debat,negative
Bahas fufufafa ga berani kaliqn😅,bahas fufufafa ga berani kaliqn,negative
infokan nasib bagas setelah konten ini bang muslim wkwkwkwk,infokan nasib bagas setelah konten ini bang muslim wkwkwkwk,negative
"Bagas penuh pressure, ngelayanin owner sama wapres sekaligus wkwk",bagas penuh pressure ngelayanin owner sama wapres sekaligus wkwk,negative
A I nih . ... (Asli Ini),a i nih asli ini,neutral
kerenn wapreskuu,kerenn wapreskuu,positive
diatas panji ya ada fufufafa lebih parah lagi tu fufufafa,diatas panji ya ada fufufafa lebih parah lagi tu fufufafa,negative
"uciha itachi ❌
uciha gibran✅

😂😂😂",uciha itachi uciha gibran,positive
Fufufafa REMEMBER YOU AREE,fufufafa remember you aree,neutral
"Gila sih, keren gibran.. 😂😂😂😂 gua gak suka dia jadi wapres tapi gua suka dia disini..",gila sih keren gibran gua gak suka dia jadi wapres tapi gua suka dia disini,positive
kenapa melirik gitu cok?? kontak mata kah ?,kenapa melirik gitu cok kontak mata kah,negative
pria solo itu lagi,pria solo itu lagi,negative
"GIBRAN B NYA BEBEK CAROK

chakksssss",gibran b nya bebek carok chakksssss,positive
Pria Solo Junior,pria solo junior,neutral
Beliau hKeunikannya adalah jadi wapres,beliau hkeunikannya adalah jadi wapres,neutral
Pupupapa,pupupapa,positive
Gw kecewa sama loe berdua gak ada pertanyaan yg cuaks,gw kecewa sama loe berdua gak ada pertanyaan yg cuaks,negative
"Shocked liat highlight nya pas nonton full nya slow abis, yang ribet malah pengikutnya "" jelas sekali yg melapor sana sini caper ke wapres "" - sambil pake nada coki",shocked liat highlight nya pas nonton full nya slow abis yang ribet malah pengikutnya jelas sekali yg melapor sana sini caper ke wapres sambil pake nada coki,negative
Keren anjing lahhhh 😂😂😂😂,keren anjing lahhhh,positive
bumn menanti yuhuuu,bumn menanti yuhuuu,positive
Kebanyakan netizen indo terlalu fanatik...,kebanyakan netizen indo terlalu fanatik,negative
chilipari tampil,chilipari tampil,neutral
Sahabat yang gak lupa daratan,sahabat yang gak lupa daratan,neutral
Wadidaw,wadidaw,positive
New character unlocked ?,new character unlocked,negative
Lebih talkative ya disini 😅,lebih talkative ya disini,negative
Konten mahal❤😂,konten mahal,negative
"ini sora AI pastiii..



btw kapan menu MBGnya bisa bebek carok",ini sora ai pastiii btw kapan menu mbgnya bisa bebek carok,positive
Kusebut dia si Pemuda Solo yg bernasib paling mujur se Indonesia. 🤣,kusebut dia si pemuda solo yg bernasib paling mujur se indonesia,positive
Kok gak nanya akun kaskus,kok gak nanya akun kaskus,negative
Pria dengan Karier melesat itu lagi 😂,pria dengan karier melesat itu lagi,positive
Jadi ngantuk,jadi ngantuk,negative
"Loh loh loh lohhhhh kok, kok loh😱",loh loh loh lohhhhh kok kok loh,positive
Kerja...malah podcast,kerjamalah podcast,negative
4:20 wkwkwkwkwwkwkwk,wkwkwkwkwwkwkwk,positive
"""Dari lahir kaya gini""🥹🥹🥹
Sungguh tegar sekali mas....







Ucap akun yang dibayar",dari lahir kaya gini sungguh tegar sekali mas ucap akun yang dibayar,positive
admin datang,admin datang,negative
Pempin masa depan,pempin masa depan,negative
Gibran jng jd wapress mending ngikut jdi trio coki muslim kaya gni 👏🏼👏🏼😂😂,gibran jng jd wapress mending ngikut jdi trio coki muslim kaya gni,neutral
ini beliau ngegantiin saiful?,ini beliau ngegantiin saiful,negative
Mau heran tapi coki muslim cakkksss,mau heran tapi coki muslim cakkksss,negative
WKWKWKWKWKW,wkwkwkwkwkw,positive
Coki jancokkkk😂,coki jancokkkk,negative
Mantep lu gih,mantep lu gih,negative
"Info menu baru Slim,Bebek carok bumbu MADAS 🤣",info menu baru slimbebek carok bumbu madas,neutral
Real hamba allah yg menyerahkan semuanya kepada allah swt,real hamba allah yg menyerahkan semuanya kepada allah swt,neutral
"Fufufafa meroasting prabowo dan Didit, now fufufafa di roasting pandji petualang. 😂😂",fufufafa meroasting prabowo dan didit now fufufafa di roasting pandji petualang,neutral
kenapa audionya harus bermasalah,kenapa audionya harus bermasalah,negative
Endors wapres budget berapa slim.,endors wapres budget berapa slim,neutral
"Mas gibran sebenernya asik, kalo jadi talent.. saya terhibur.. asalkan tidak jadi wapres🎉😂",mas gibran sebenernya asik kalo jadi talent saya terhibur asalkan tidak jadi wapres,positive
Nah kl menghadiri acara2 sprti ini cocok dan pantes,nah kl menghadiri acara sprti ini cocok dan pantes,positive
"privilege mantan buzzer 02, kalau ga bisa memanfaatkan buff ini ya sia2 😂😂😂",privilege mantan buzzer kalau ga bisa memanfaatkan buff ini ya sia,negative
yang tengah lucu kenapa ga jadi pelawak aja?,yang tengah lucu kenapa ga jadi pelawak aja,negative
12:45 sopan santun hanyalah mitos bagi marbot of satanic temple 😂,sopan santun hanyalah mitos bagi marbot of satanic temple,neutral
ROASTING DEPAN WAJAH BANGET NIHHH 😂😂😂,roasting depan wajah banget nihhh,positive
17:32 Sekelas wapres kaget liat ada orang yg beneran meeting🤣🤣🤣,sekelas wapres kaget liat ada orang yg beneran meeting,negative
2:35,,ERROR
ahh pria solo itu lagi?!..,ahh pria solo itu lagi,negative
Mas Gibran nya Ai gess..😅😅😅🤣🤣🤣🤣🙈🙈🙈 #KataMerekaaa,mas gibran nya ai gess katamerekaaa,neutral
Mas Gibran ini sebenernya keren kalo ga jadi Wapres. Beliau ini selow dan pasti ahli dalam problem solving management dalam sebuah bisnis.,mas gibran ini sebenernya keren kalo ga jadi wapres beliau ini selow dan pasti ahli dalam problem solving management dalam sebuah bisnis,positive
"16:26 sumpah gw ngakak 😅
Wapres disuruh bayar",sumpah gw ngakak wapres disuruh bayar,negative
Setidaknya Pak 111ulyono tidak pernah menghasilkan bencana banjir dan longsor selama 10 tahun kepemimpinannya. Justru menambah kekuatan ekonomi rakyat dengan pembangunan infrastruktur transportasi. ❤,setidaknya pak ulyono tidak pernah menghasilkan bencana banjir dan longsor selama tahun kepemimpinannya justru menambah kekuatan ekonomi rakyat dengan pembangunan infrastruktur transportasi,positive
"Gibran gibran
Main bola sama ngonten ajee😂",gibran gibran main bola sama ngonten ajee,neutral
mohon kepada kerabat Bagas untuk dipantau terus si bagas,mohon kepada kerabat bagas untuk dipantau terus si bagas,neutral
"luang banget ya waktunya mas mas yang tengah, nggak kerja kah?",luang banget ya waktunya mas mas yang tengah nggak kerja kah,negative
Hmmm... Pria solo itu lagi,hmmm pria solo itu lagi,negative
"Aku sih mau nanya , apa pendapat pria solo itu tentang FUFUFAFA WIWI WOWO",aku sih mau nanya apa pendapat pria solo itu tentang fufufafa wiwi wowo,neutral
Gua berinvestasi di video ini.. 🗿🗿,gua berinvestasi di video ini,neutral
"kenapa memancing kemarahan....ya karena dalam pilpres langsung keterikatan emosional antara pemilih dan yg dipilih itu cukup kuat. narasi yg dibagun PANJI , PRAGI (Prabowo-Gibran) cuma jualan gimik, membuat marah masyarakat yg sudah memilih. Mereka merasa dituduh memilih hanya karena alasan dangkal (seperti sebutan ""gemoy"" dll, ), padahal mereka memiliki alasan rasional lain.",kenapa memancing kemarahanya karena dalam pilpres langsung keterikatan emosional antara pemilih dan yg dipilih itu cukup kuat narasi yg dibagun panji pragi prabowogibran cuma jualan gimik membuat marah masyarakat yg sudah memilih mereka merasa dituduh memilih hanya karena alasan dangkal seperti sebutan gemoy dll padahal mereka memiliki alasan rasional lain,negative
Gak nyambung,gak nyambung,negative
Ini konten pengalihan issue perebutan greenland. Gokilz sekali buzzer nya 😂,ini konten pengalihan issue perebutan greenland gokilz sekali buzzer nya,neutral
"Coba duetkan sama Sugeng, kayaknya cocok",coba duetkan sama sugeng kayaknya cocok,positive
"Udah pesan mas.
Muslim Paniikk 😂😂😂",udah pesan mas muslim paniikk,neutral
Gibran otak udang gibran anak Haram konstitusi gibran ngga pernah dekolah gibran otak udang gibran anak jokonrtrol ijasah palsu Penipu joko listyyoo begundral berjingaangan longor mafiya pengjqhatan kerparat tak tahu malu manusia mah punya malu dasar unggas dasar unggas kalian Genk solo termul hewan unggas,gibran otak udang gibran anak haram konstitusi gibran ngga pernah dekolah gibran otak udang gibran anak jokonrtrol ijasah palsu penipu joko listyyoo begundral berjingaangan longor mafiya pengjqhatan kerparat tak tahu malu manusia mah punya malu dasar unggas dasar unggas kalian genk solo termul hewan unggas,negative
LOVE MAS GIBRAN❤,love mas gibran,negative
"tolong jangan selain mas gibrannya ya, kalo selain itu pasti di cari sama mas gibran hehehe",tolong jangan selain mas gibrannya ya kalo selain itu pasti di cari sama mas gibran hehehe,negative
9:08: Anomali tatoan ngobrol sama wapres la lo jancokkk,anomali tatoan ngobrol sama wapres la lo jancokkk,negative
04:21 lagi sariawan parah dipaksa ngakak 😂😂,lagi sariawan parah dipaksa ngakak,positive
Ajg ngakak 😂,ajg ngakak,positive
Pria solo asli,pria solo asli,positive
disini saya merasakan banyaknya tawa dalam diam,disini saya merasakan banyaknya tawa dalam diam,positive
"Sering2 bikin konten kayak gini si gibran biar keliatan kerja dikit lah 
sekalian konten aduan masyarakat tuh 😂",sering bikin konten kayak gini si gibran biar keliatan kerja dikit lah sekalian konten aduan masyarakat tuh,negative
Jokes coki muslim tidak ada apa2 nya di banding jokes fufufafa.,jokes coki muslim tidak ada apa nya di banding jokes fufufafa,negative
the real cukong nih... pasti ada orang besar dibalik keluarga solo,the real cukong nih pasti ada orang besar dibalik keluarga solo,positive
yah ga disinggung fufufafa nya 😂😂😂😂😂😂😂😂😂,yah ga disinggung fufufafa nya,negative
"Sejauh ini,ini yang paling jauh🤣🤣",sejauh iniini yang paling jauh,negative
ini Ai kan ya?,ini ai kan ya,negative
tapi saya makin kesini kok makin suka yaa ke mas Gib,tapi saya makin kesini kok makin suka yaa ke mas gib,positive
Allah 😮😮😮,allah,positive
Masih banyak topik yang bisa dibahas padahal wkwk sayang bet jarang dia soalnya mau Masuk ruang diskusi yt gini,masih banyak topik yang bisa dibahas padahal wkwk sayang bet jarang dia soalnya mau masuk ruang diskusi yt gini,negative
ini beneran gk bahas fufufafa?,ini beneran gk bahas fufufafa,negative
"apa2 boleh… itu cm males mikir aja, cok. 
korupsi boleh?? boleh, 
ganti konstitusi, boleh… yg penting sy dan keluarga sy ttp jabat🤮",apa boleh itu cm males mikir aja cok korupsi boleh boleh ganti konstitusi boleh yg penting sy dan keluarga sy ttp jabat,negative
Abah Anies terbaik untuk jadi pemimpin Venezuela.,abah anies terbaik untuk jadi pemimpin venezuela,positive
Jirr ga cocok nonton ini sambil makan,jirr ga cocok nonton ini sambil makan,negative
mas gibran udah ijin sama pak presiden belum?,mas gibran udah ijin sama pak presiden belum,neutral
Baru aja Mulai udah roasting orangnya. Gila bre...,baru aja mulai udah roasting orangnya gila bre,negative
Mengundang raja terakhir,mengundang raja terakhir,neutral
Kok jadinya malah W4pre5 lebih pintar dan bijak.❤,kok jadinya malah wpre lebih pintar dan bijak,negative
ngantuk saya nonton nya,ngantuk saya nonton nya,positive
duh pengen bgt nanya emg guru dan pegawai sekolah juga dpt MBG?,duh pengen bgt nanya emg guru dan pegawai sekolah juga dpt mbg,negative
Itu pria solo kasi 8 shot kopi aje,itu pria solo kasi shot kopi aje,neutral
😂,,ERROR
salah satu mutant (coki maksudnya),salah satu mutant coki maksudnya,neutral
Kata ane mah mas gibran open mic aja,kata ane mah mas gibran open mic aja,negative
sayang karir sayang karir😂,sayang karir sayang karir,positive
durasi video kurang 1 mt untuk menuju 19 jt (*mt),durasi video kurang mt untuk menuju jt mt,neutral
